variable,label,dataset,T_hours,dphi,n_animals,power_intercept,power_slope,sd_base,sd_treat
tb_core,심부체온,helissen2022,24,1.0,4,0.16157723148931566,0.3141403836030693,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,1.0,6,0.2708083525306361,0.549287168538893,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,1.0,8,0.378840387782591,0.7266954410026524,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,1.0,10,0.4791981518126181,0.8431243362234008,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,1.0,12,0.5690793059728576,0.9136074989763567,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,1.0,16,0.7144967006216502,0.9761280095902031,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,1.0,20,0.8174752586788532,0.9939874236644614,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,1.0,24,0.8866317521021384,0.9985868460500198,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,4,0.45842353331013597,0.3141403836030693,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,6,0.7533188012163764,0.549287168538893,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,8,0.9038443664251198,0.7266954410026524,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,10,0.9659970944389004,0.8431243362234008,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,12,0.9887787444363184,0.9136074989763567,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,16,0.9989455584601695,0.9761280095902031,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,20,0.9999139288599364,0.9939874236644614,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,2.0,24,0.999993653081565,0.9985868460500198,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,4,0.7648887774819082,0.3141403836030693,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,6,0.9736421771212777,0.549287168538893,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,8,0.9980272497594911,0.7266954410026524,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,10,0.9998809643678882,0.8431243362234008,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,12,0.9999937464230821,0.9136074989763567,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,16,0.9999999868856887,0.9761280095902031,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,20,,0.9939874236644614,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,24,3.0,24,,0.9985868460500198,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,4,0.16157723148931566,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,6,0.2708083525306361,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,8,0.378840387782591,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,10,0.4791981518126181,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,12,0.5690793059728576,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,16,0.7144967006216502,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,20,0.8174752586788532,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,1.0,24,0.8866317521021384,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,4,0.45842353331013597,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,6,0.7533188012163764,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,8,0.9038443664251198,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,10,0.9659970944389004,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,12,0.9887787444363184,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,16,0.9989455584601695,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,20,0.9999139288599364,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,2.0,24,0.999993653081565,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,4,0.7648887774819082,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,6,0.9736421771212777,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,8,0.9980272497594911,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,10,0.9998809643678882,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,12,0.9999937464230821,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,16,0.9999999868856887,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,20,,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,20,3.0,24,,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,4,0.16157723148931566,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,6,0.2708083525306361,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,8,0.378840387782591,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,10,0.4791981518126181,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,12,0.5690793059728576,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,16,0.7144967006216502,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,20,0.8174752586788532,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,1.0,24,0.8866317521021384,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,4,0.45842353331013597,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,6,0.7533188012163764,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,8,0.9038443664251198,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,10,0.9659970944389004,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,12,0.9887787444363184,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,16,0.9989455584601695,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,20,0.9999139288599364,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,2.0,24,0.999993653081565,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,3.0,4,0.7648887774819082,,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,3.0,6,0.9736421771212777,1.0,0.30679174776681073,2.7687328229841817
tb_core,심부체온,helissen2022,28,3.0,8,0.9980272497594911,,0.30679174776681073,2.7687328229841817
